mountain_id,name,elev,prom,lat,lon,coord,is_volc,province,region,region_name,isl_grp,marker_size,source,data_quality_notes
solitario_10.8092_123.4696,Mount Solitario,305.0,,10.8091936,123.4695715,"10.8091936, 123.4695715",,Negros Occidental,NIR,Negros Island Region (NIR),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
solsogon_10.3892_124.7903,Mount Solsogon,41.0,,10.389167,124.790278,"10.389167, 124.790278",,Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
solu_18.1167_121.2167,Mount Solu,1109.0,343.0,18.116667,121.216667,"18.116667, 121.216667",,Apayao,CAR,Cordillera Administrative Region  (CAR),Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sombrero peak_13.6357_121.2619,Sombrero Peak,400.0,,13.6356838,121.2619495,"13.6356838, 121.2619495",,Batangas,Region IV-A,Region IV-A  (CALABARZON),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sonogong_11.1483_122.2278,Mount Sonogong,1474.0,575.0,11.148333,122.227778,"11.148333, 122.227778",,Antique,Region VI,Region VI  (Western Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sook hill_10.35_122.95,Sook Hill,165.0,,10.35,122.95,"10.35, 122.95",,Negros Occidental,NIR,Negros Island Region (NIR),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south bay hill_7.8444_117.02,South Bay Hill,275.0,,7.844444,117.02,"7.844444, 117.02",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south kodiapi_13.3781_122.5604,Mount South Kodiapi,390.0,,13.3780704,122.5604188,"13.3780704, 122.5604188",,Quezon,Region IV-A,Region IV-A  (CALABARZON),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south peak_8.1792_123.6384,South Peak,1850.0,,8.1791703,123.6384296,"8.1791703, 123.6384296",,Misamis Occidental,Region X,Region X  (Northern Mindanao),Mindanao,large,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south peak_15.1966_120.7435,South Peak,970.0,,15.1965737,120.7434961,"15.1965737, 120.7434961",,Pampanga,Region III,Region III (Central Luzon),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south peak bulagao_17.6333_120.5167,Mount South Peak Mount Bulagao,,,17.633333,120.516667,"17.633333, 120.516667",,Unassigned,Unassigned,Unassigned,Unassigned,unknown,OpenStreetMap,elev_source=still_missing; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south sapa_16.0_119.8167,Mount South Sapa,93.0,,16.0,119.816667,"16.0, 119.816667",,Pangasinan,Region I,Region I  (Ilocos Region),Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
south summit_13.4023_123.6078,Mount South Summit,381.0,1324.0,13.4023086,123.6078192,"13.4023086, 123.6078192",,Albay,Region V,Region V  (Bicol Region),Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
south tetas de santa_17.525_120.4635,Mount South Tetas de Santa,639.0,491.0,17.5250031,120.4635249,"17.5250031, 120.4635249",,Ilocos Sur,Region I,Region I  (Ilocos Region),Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=existing_row_value; is_volc_source=missing; dedup_action=kept_best_consolidated
south tuluran peak_10.9871_119.278,South Tuluran Peak,395.0,395.0,10.9870845,119.2780154,"10.9870845, 119.2780154",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
southwest hill_9.6109_118.6825,Southwest Hill,369.0,,9.6109085,118.682498,"9.6109085, 118.682498",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
spike peak_8.7425_117.5909,Spike Peak,954.0,,8.7425182,117.5908814,"8.7425182, 117.5908814",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
spike peak_17.1223_120.6366,Spike Peak,2918.0,,17.1222619,120.6365854,"17.1222619, 120.6365854",,Ilocos Sur,Region I,Region I  (Ilocos Region),Luzon,large,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
split peak_11.4833_122.7167,Split Peak,2929.0,,11.483333,122.716667,"11.483333, 122.716667",,Capiz,Region VI,Region VI  (Western Visayas),Visayas,large,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
squash_7.7455_124.9126,Mount Squash,450.0,92.0,7.7455254,124.9126109,"7.7455254, 124.9126109",,Bukidnon,Region X,Region X  (Northern Mindanao),Mindanao,small,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
stavely_9.7354_118.5544,Mount Stavely,324.0,,9.7353697,118.5543524,"9.7353697, 118.5543524",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
strait peak_10.9758_119.3236,Strait Peak,381.0,,10.975833,119.323611,"10.975833, 119.323611",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
stripe peak_10.2017_119.0344,Stripe Peak,1475.0,384.0,10.201667,119.034444,"10.201667, 119.034444",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sua_11.6655_124.452,Mount Sua,1090.0,,11.6655054,124.4519887,"11.6655054, 124.4519887",,Biliran,Region VIII,Region VIII  (Eastern Visayas),Visayas,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
subing-subing hill_11.6754_124.3508,Subing-subing Hill,117.0,,11.6753664,124.3508473,"11.6753664, 124.3508473",,Unassigned,Unassigned,Unassigned,Unassigned,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sucamao hill_7.4942_122.3947,Sucamao Hill,67.0,,7.494167,122.394722,"7.494167, 122.394722",,Zamboanga Sibugay,Region IX,Region IX  (Zamboanga Peninsula),Mindanao,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sucao_17.4427_121.1027,Mount Sucao,2125.0,57.0,17.4427,121.1027,"17.4427, 121.1027",,Kalinga,CAR,Cordillera Administrative Region  (CAR),Luzon,large,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sudlon_11.3764_124.5343,Mount Sudlon,540.0,,11.3763701,124.5343415,"11.3763701, 124.5343415",,Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sugarloaf_7.9966_123.2565,Mount Sugarloaf,1432.0,472.0,7.9966,123.2565,"7.9966, 123.2565",,Zamboanga del Sur,Region IX,Region IX  (Zamboanga Peninsula),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
suguitan_13.8589_123.4961,Mount Suguitan,367.0,,13.8589036,123.4960716,"13.8589036, 123.4960716",,Camarines Sur,Region V,Region V  (Bicol Region),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sujac_12.5667_124.0,Mount Sujac,475.0,202.0,12.566667,124.0,"12.566667, 124.0",,Sorsogon,Region V,Region V  (Bicol Region),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sulangon_10.6667_122.6619,Mount Sulangon,130.0,,10.6667191,122.661895,"10.6667191, 122.661895",,Guimaras,Region VI,Region VI  (Western Visayas),Visayas,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sulok hill_6.6139_125.4265,Sulok Hill,100.0,,6.6138685,125.4264553,"6.6138685, 125.4264553",,Unassigned,Unassigned,Unassigned,Unassigned,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sultan peak_9.2764_118.225,Sultan Peak,1228.0,,9.276389,118.225,"9.276389, 118.225",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumacbao_15.1933_121.1792,Mount Sumacbao,833.0,,15.193333,121.179167,"15.193333, 121.179167",,Bulacan,Region III,Region III (Central Luzon),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumadil_6.1789_125.6789,Mount Sumadil,752.0,,6.178889,125.678889,"6.178889, 125.678889",,Davao del Sur,Region XI,Region XI (Davao Region),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumag_15.0247_121.2836,Mount Sumag,967.0,,15.024722,121.283611,"15.024722, 121.283611",,Bulacan,Region III,Region III (Central Luzon),Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumagaya_8.6599_125.0362,Mount Sumagaya,2290.0,579.0,8.6598847,125.0361511,"8.6598847, 125.0361511",,Misamis Oriental,Region X,Region X  (Northern Mindanao),Mindanao,large,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
sumalayagon_8.3969_124.4171,Mount Sumalayagon,935.0,,8.3968876,124.4171002,"8.3968876, 124.4171002",,Misamis Oriental,Region X,Region X  (Northern Mindanao),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumalili peak_7.499_125.2249,Sumalili Peak,1210.0,,7.4989911,125.2248592,"7.4989911, 125.2248592",,Cotabato,Region XII,Region XII (SOCCSKSARGEN),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumarangay_8.0483_124.461,Mount Sumarangay,1294.0,,8.0482959,124.4610095,"8.0482959, 124.4610095",,Lanao del Sur,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumarapsap_14.6942_121.2919,Mount Sumarapsap,650.0,,14.6941813,121.2918633,"14.6941813, 121.2918633",,Rizal,Region IV-A,Region IV-A  (CALABARZON),Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sumbang hill_5.8197_125.1836,Sumbang Hill,164.0,,5.819722,125.183611,"5.819722, 125.183611",,Unassigned,Unassigned,Unassigned,Unassigned,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
summit bugabuga_11.1795_124.4228,Mount Summit Mount BugaBuga,340.0,,11.1794547,124.4227975,"11.1794547, 124.4227975",,Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sungay_14.1419_121.022,Mount Sungay,730.0,,14.1419193,121.0220244,"14.1419193, 121.0220244",,Cavite,Region IV-A,Region IV-A  (CALABARZON),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
sunset hill_12.0571_120.1885,Sunset Hill,125.0,,12.0570944,120.188517,"12.0570944, 120.188517",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
supu_11.4983_122.7158,Mount Supu,247.0,,11.498333,122.715833,"11.498333, 122.715833",,Capiz,Region VI,Region VI  (Western Visayas),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susimbahan_11.5_124.3333,Mount Susimbahan,225.0,,11.5,124.333333,"11.5, 124.333333",,Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susong dalaga_6.4207_124.9738,Mount Susong Dalaga,580.0,,6.4206812,124.9737502,"6.4206812, 124.9737502",,South Cotabato,Region XII,Region XII (SOCCSKSARGEN),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susong dalaga_15.1303_121.0911,Mount Susong Dalaga,400.0,,15.1303243,121.0910588,"15.1303243, 121.0910588",,Bulacan,Region III,Region III (Central Luzon),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susong dalaga_14.7102_121.1919,Mount Susong Dalaga,280.0,,14.7102127,121.191864,"14.7102127, 121.191864",,Rizal,Region IV-A,Region IV-A  (CALABARZON),Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susongdalaga_14.8833_120.35,Mount Susongdalaga,618.0,,14.883333,120.35,"14.883333, 120.35",,Zambales,Region III,Region III (Central Luzon),Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susongdalaga_15.95_121.2333,Mount Susongdalaga,1650.0,,15.95,121.233333,"15.95, 121.233333",,Nueva Vizcaya,Region II,Region II (Cagayan Valley),Luzon,large,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susungdalaga_14.6358_121.314,Mount Susungdalaga,855.0,,14.6357904,121.3140124,"14.6357904, 121.3140124",,Rizal,Region IV-A,Region IV-A  (CALABARZON),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
susungdalaga_14.9167_121.1167,Mount Susungdalaga,291.0,,14.916667,121.116667,"14.916667, 121.116667",,Bulacan,Region III,Region III (Central Luzon),Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
suwakin_5.1298_120.2215,Mount Suwakin,155.0,,5.1298,120.2215,"5.1298, 120.2215",,Unassigned,Unassigned,Unassigned,Unassigned,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
suwaon_7.7414_125.6011,Mount Suwaon,593.0,,7.741389,125.601111,"7.741389, 125.601111",,Davao del Norte,Region XI,Region XI (Davao Region),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
syniop_6.4703_124.0511,Mount Syniop,490.0,151.0,6.470278,124.051111,"6.470278, 124.051111",,Sultan Kudarat,Region XII,Region XII (SOCCSKSARGEN),Mindanao,small,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
taasah hill_12.5051_124.5056,Taasah Hill,192.0,,12.5051005,124.5055984,"12.5051005, 124.5055984",,Northern Samar,Region VIII,Region VIII  (Eastern Visayas),Visayas,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
tabaan_10.7728_124.8706,Mount Tabaan,1170.0,558.0,10.772778,124.870556,"10.772778, 124.870556",,Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
tabacanon_6.3667_125.5986,Mount Tabacanon,652.0,455.0,6.3666706,125.5986116,"6.3666706, 125.5986116",,Davao del Sur,Region XI,Region XI (Davao Region),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
tabao hill_13.7878_120.2877,Tabao Hill,190.0,,13.7877843,120.2876919,"13.7877843, 120.2876919",,Occidental Mindoro,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
tabaro_14.0_120.9833,Mount Tabaro,150.0,,14.0,120.983333,"14.0, 120.983333",,Batangas,Region IV-A,Region IV-A  (CALABARZON),Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
tabayoc_16.6893_120.8861,Mount Tabayoc,2820.0,536.0,16.689265,120.8860826,"16.689265, 120.8860826",,Benguet,CAR,Cordillera Administrative Region  (CAR),Luzon,large,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
