name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Agtuuganon,7.80076,126.20175,Philippines,Davao Region,1660,0,mountain,1731897
Mount Patrick,12.9775,121.0861,Philippines,Mimaropa,1656,0,mountain,1694325
Mount Susongdalaga,15.9534,121.2288,Philippines,Cagayan Valley,1650,0,mountain,1685192
Mount Agamomata,18.15476,120.96781,Philippines,Cordillera,1649,0,mountain,1732189
Mount Ampalauag,17.02985,121.29344,Philippines,Cordillera,1645,0,mountain,1730995
Mount Latian,6.20917,125.5075,Philippines,Davao Region,1644,0,mountain,1707132
Mount Indie,12.919,121.0708,Philippines,Mimaropa,1636,0,mountain,1710759
Mount Panogaan,17.4684,121.0118,Philippines,Cordillera,1634,0,mountain,1695043
Mount Nanaabung,16.03961,121.23404,Philippines,Cagayan Valley,1634,0,mountain,1698343
Mount Lubluba,17.6218,121.2235,Philippines,Cordillera,1629,0,mountain,1705413
Mount Punug,7.64068,124.5795,Philippines,Autonomous Region in Muslim Mindanao,1626,0,mountain,1692388
Mount Tagdalit,7.4282,126.3247,Philippines,Davao Region,1626,0,mountain,1684455
Mount Lusod,16.3664,120.7797,Philippines,Cordillera,1625,0,mountain,1704941
Mount Ananeto,16.30703,120.69483,Philippines,Cordillera,1621,0,mountain,1730890
Cleopatra Needle,10.12389,118.99528,Philippines,Mimaropa,1602,0,mountain,1717343
Pitol Kalabaw Peak,6.25505,124.59672,Philippines,Soccsksargen,1598,0,mountain,1693287
Mount Sinako,7.48944,125.25556,Philippines,Davao Region,1590,0,mountain,1686313
Mount Bumalayak North Peak,17.7095,120.9619,Philippines,Cordillera,1588,0,mountain,1697530
Mount Pultoc,17.5588,120.9342,Philippines,Cordillera,1586,0,mountain,1692505
Mount Negron,15.09425,120.36729,Philippines,Central Luzon,1583,0,mountain,1697810
Mount Binmaca,16.6816,120.6082,Philippines,Ilocos,1576,0,mountain,1724958
Mount Manago,17.7469,120.9584,Philippines,Cordillera,1576,0,mountain,1702167
Mount Tigas,11.29531,122.19021,Philippines,Western Visayas,1564,0,mountain,1682295
Mount Bangdang,17.66911,121.25285,Philippines,Cordillera,1549,0,mountain,1727309
Mount Magsingit,18.28511,120.97154,Philippines,Cordillera,1549,0,mountain,1703754
Mount Malinao,13.4099,123.6103,Philippines,Bicol Region,1548,0,mountain,1702723
Mount Dusong,16.52888,120.80924,Philippines,Cordillera,1547,0,mountain,7427160
Mount Rosopy,17.34993,120.79175,Philippines,Cordillera,1542,0,mountain,1692348
Mount Iniaoan,7.8208,123.9249,Philippines,Northern Mindanao,1535,0,mountain,1710718
Mount Ampiro,8.3793,123.6215,Philippines,Northern Mindanao,1532,0,mountain,1730976
Salagabanog Peak,7.61033,124.59257,Philippines,Soccsksargen,1530,0,mountain,1691002
Mount Mambajao,9.17035,124.72445,Philippines,Northern Mindanao,1525,0,mountain,1702346
Mount Hamiguitan,6.74022,126.17608,Philippines,Davao Region,1524,0,mountain,1711924
Mount Tudul,5.95528,125.49444,Philippines,Soccsksargen,1521,0,mountain,1681019
Mount Calavite,13.4818,120.4035,Philippines,Mimaropa,1520,0,mountain,1720453
Mount Labo,14.0159,122.7933,Philippines,Bicol Region,1514,0,mountain,1708290
Mount Silay,10.77534,123.2324,Philippines,Western Visayas,1510,0,mountain,1686500
Mount Dos Hermanos,16.5112,122.0376,Philippines,Cagayan Valley,1510,0,mountain,1714373
Pitot Kalabaw Mountain,6.45902,124.53232,Philippines,Soccsksargen,1503,0,mountain,1693282
Mount Mariyug,7.57802,124.59361,Philippines,Soccsksargen,1490,0,mountain,1995828
Mount Inoman,16.3867,120.7621,Philippines,Cordillera,1490,0,mountain,1710670
Mount Magolo,6.43727,125.11561,Philippines,Soccsksargen,1486,0,mountain,1703812
Baya Mountain,7.78634,124.09672,Philippines,Autonomous Region in Muslim Mindanao,1484,0,mountain,1978779
Mount Burburungan,13.4003,120.8117,Philippines,Mimaropa,1482,0,mountain,1722469
Mount Calibugon,8.9886,117.8643,Philippines,Mimaropa,1478,0,mountain,1720347
Stripe Peak,10.20167,119.03444,Philippines,Mimaropa,1475,0,mountain,1685658
Mount Sonogong,11.1555,122.1993,Philippines,Western Visayas,1474,0,mountain,1685786
Mount San Cristobal,14.0621,121.423,Philippines,Calabarzon,1470,0,mountain,1690180
Mount Cayudungan,17.8872,120.7303,Philippines,Cordillera,1469,0,mountain,1686993
Mount Irid,14.78889,121.32583,Philippines,Calabarzon,1469,0,mountain,1710545
Mount Magampao,7.61586,124.59583,Philippines,Soccsksargen,1468,0,mountain,1995827
Mount Madocay,17.5918,121.0163,Philippines,Cordillera,1466,0,mountain,1704138
Mount Itim-Itim,6.57294,124.50401,Philippines,Soccsksargen,1465,0,mountain,1710450
Mount Otunao,15.9539,121.429,Philippines,Cagayan Valley,1464,0,mountain,1696936
Mount Malibato,6.18078,124.90836,Philippines,Soccsksargen,1462,0,mountain,1702833
Volcanic Peak,5.93361,125.47611,Philippines,Soccsksargen,1458,0,mountain,1679743
Mount Sehal,16.3386,121.1823,Philippines,Cagayan Valley,1455,0,mountain,1687009
Mount Linao,18.35512,120.91093,Philippines,Ilocos,1449,0,mountain,1706258
Mount Tinanan,7.36194,125.23444,Philippines,Soccsksargen,1448,0,mountain,1958694
Mount Pao,16.44,120.8167,Philippines,Cordillera,1444,0,mountain,7638781
Mount Portoc,17.5189,121.1643,Philippines,Cordillera,1442,0,mountain,1692862
Mount Kadang,16.42655,120.67908,Philippines,Cordillera,1441,0,mountain,1709835
Mount Sugarloaf,7.9966,123.2565,Philippines,Zamboanga Peninsula,1432,0,mountain,1685515
Mount Balatic,13.3224,120.8965,Philippines,Mimaropa,1430,0,mountain,1728377
Mount Macaayao,5.82278,125.49694,Philippines,Davao Region,1428,0,mountain,1704465
Mount Jamalapah,16.88066,121.13134,Philippines,Cordillera,1422,0,mountain,1710335
Mount Mangaku,16.4286,120.8515,Philippines,Cordillera,1422,0,mountain,7638774
Talili Mountain,6.18506,124.66997,Philippines,Soccsksargen,1410,0,mountain,1978310
Mount Nalibo,17.0743,120.8,Philippines,Cordillera,1408,0,mountain,7633931
Mount Tupi,7.9493,124.58484,Philippines,Autonomous Region in Muslim Mindanao,1398,0,mountain,1682952
Mount Puloy,16.78987,121.05234,Philippines,Cordillera,1395,0,mountain,1692510
Sicaba dacu Peak,10.79944,123.2407,Philippines,Western Visayas,1392,0,peak,1686695
Mount Lambayo,18.21352,121.15709,Philippines,Cordillera,1389,0,mountain,1707814
Mount Salat,16.5755,120.5682,Philippines,Cordillera,1375,0,mountain,1690944
Mount Dumara,11.23672,122.15251,Philippines,Western Visayas,1370,0,mountain,1714151
Mount Pungugupanunga,15.9351,121.4876,Philippines,Cagayan Valley,1370,0,mountain,1692451
Mount Macatohuol,14.87889,121.32,Philippines,Central Luzon,1369,0,mountain,1704311
End Peak,9.31722,118.21167,Philippines,Mimaropa,1356,0,mountain,1713880
Mount Lobi,11.01194,124.81222,Philippines,Eastern Visayas,1350,0,mountain,1705889
Mount Macopa,17.7402,121.1163,Philippines,Cordillera,1350,0,mountain,1704261
Pico de Loro,18.51391,120.88681,Philippines,Ilocos,1350,0,peak,1693951
Mount Tangob,17.2611,121.2574,Philippines,Cordillera,1350,0,mountain,1683134
Mount Libang,17.5362,121.2294,Philippines,Cordillera,1346,0,mountain,8031287
Mount Maliz,8.76025,117.66322,Philippines,Mimaropa,1345,0,mountain,1702602
Gadungan Mountain,7.77751,124.07952,Philippines,Autonomous Region in Muslim Mindanao,1342,0,mountain,1978776
Mount Nadumular,16.06541,121.12544,Philippines,Central Luzon,1335,0,mountain,1698844
Mount Malabito,14.6855,121.4364,Philippines,Calabarzon,1334,0,mountain,1703336
Mount Palalao,17.41303,120.89735,Philippines,Cordillera,1333,0,mountain,7616176
Mount Kotkot,16.4551,120.7658,Philippines,Cordillera,1332,0,mountain,1708518
Mount Kinabalian,8.20833,125.43444,Philippines,Caraga,1331,0,mountain,1708748
Mount Donald McDonald,15.12744,120.36764,Philippines,Central Luzon,1330,0,mountain,1714448
Mount Lunitan,15.1636,120.1683,Philippines,Central Luzon,1329,0,mountain,1705032
